psi_n,dT_dpsi_native_N_m,two_n_delta_W_native,T_cumulative_native_N_m,two_n_delta_W_cumulative_native,dV_dpsi_n_native
0.757045237,-0.104680933,58723.324,115.238706,26556.027,980.044903
0.758237,-0.405034205,58964.4525,115.238404,26626.1526,981.75002
0.759339877,-0.710529595,59215.1451,115.237792,26691.3183,983.333448
0.760195664,-0.976845154,59439.3006,115.237072,26742.0874,984.565814
0.760828777,-1.1625492,59631.6847,115.236392,26779.7786,985.479626
0.761269833,-1.2293298,59782.918,115.235861,26806.1123,986.117296
0.761593802,-0.800934274,59894.1477,115.235509,26825.4984,986.586247
0.761807433,0.772482533,59935.4703,115.23547,26838.2992,986.895744
0.761954717,6.91931551,59876.4672,115.235929,26847.124,987.109242
0.762045719,24.2109064,59681.4141,115.237182,26852.5658,987.241205
0.762105888,81.6932839,59432.9897,115.239978,26856.1497,987.328478
0.762141371,224.792542,59570.1567,115.244905,26858.2592,987.379952
0.762166118,545.792658,62035.3701,115.253776,26859.7549,987.415855
0.762183304,785.360152,66280.2277,115.265487,26860.8546,987.440791
0.762197452,721.822214,68541.3763,115.276579,26861.8132,987.46132
0.7622116,488.316517,67737.1755,115.28511,26862.7796,987.481849
0.762226652,303.581671,65972.0168,115.290943,26863.7856,987.503691
0.762243513,189.330745,64430.1016,115.294997,26864.8841,987.528159
0.762266638,111.142899,63061.3683,115.29836,26866.3569,987.561721
0.762292896,69.5525663,62135.2003,115.30067,26867.9995,987.599831
0.762333312,39.7294332,61307.8392,115.302796,26870.4924,987.658497
0.762380809,24.4187566,60764.1664,115.304277,26873.3904,987.727451
0.762442468,14.9998377,60349.1337,115.305456,26877.1231,987.816981
0.76252931,8.89978829,60011.1423,115.306461,26882.348,987.943106
0.762628745,5.69191451,59788.7281,115.307167,26888.3031,988.087562
0.76278812,3.29397473,59607.5812,115.307859,26897.8153,988.319195
0.762949252,2.8882704,59642.7743,115.308328,26907.4192,988.553501
0.763045502,4.28147263,60006.3105,115.308657,26913.1731,988.693518
0.76310402,13.2838388,61063.8422,115.309097,26916.7089,988.778666
0.763133682,37.9493977,63519.9662,115.309777,26918.5488,988.821834
0.763148682,136.679271,68101.1691,115.310891,26919.5296,988.843664
0.763156982,415.070093,77725.3386,115.312931,26920.1269,988.855744
0.763161516,1581.48097,92789.3851,115.316765,26920.5084,988.862343
0.763163904,4794.05832,111963.283,115.323536,26920.7498,988.865819
0.763165333,14710.2935,77201.7813,115.33587,26920.8971,988.867899
0.763166272,22648.0533,-40914.5484,115.353878,26920.9238,988.869265
0.763167007,19449.6704,-114892.51,115.370223,26920.8583,988.870336
0.763167694,11610.1299,-97860.9462,115.380683,26920.7826,988.871335
0.763168482,6418.42057,-57136.6116,115.387548,26920.7223,988.872482
0.763169421,3525.39779,-23638.5806,115.39204,26920.6856,988.873849
0.763170663,1894.79873,2161.51963,115.395265,26920.6739,988.875657
0.76317242,970.573441,21259.3592,115.397661,26920.6964,988.878214
0.763174435,549.21113,32535.0788,115.399136,26920.7517,988.881147
0.763177712,269.138134,41944.345,115.400404,26920.8756,988.885917
0.763181713,143.684708,47470.5275,115.401195,26921.0556,988.891741
0.76318716,74.1767251,51295.268,115.40176,26921.3258,988.899669
0.763195021,36.2600886,53994.0777,115.402172,26921.7409,988.911112
0.76320409,19.2746318,55538.164,115.402413,26922.2383,988.924314
0.763219192,8.22455392,56815.875,115.402607,26923.0879,988.946298
0.763237631,3.59735258,57535.2993,115.402709,26924.1429,988.973142
0.763262745,1.18762311,58015.6285,115.402765,26925.5946,989.009704
0.763298964,-0.00714854922,58340.0681,115.402782,26927.7025,989.062441
0.763340736,-0.512235589,58518.405,115.40277,26930.1436,989.123271
0.76341042,-0.85393821,58662.5585,115.402721,26934.2271,989.224765
0.763495726,-1.03813577,58744.678,115.40264,26939.2352,989.349043
0.763612277,-1.22627463,58805.3068,115.402507,26946.0858,989.518894
0.763781717,-1.42090765,58858.1269,115.402282,26956.0546,989.765937
0.763977602,-1.61873743,58902.1932,115.401984,26967.5885,990.051705
0.764310095,-1.88593521,58964.633,115.401397,26987.1836,990.537178
0.764722534,-2.11339338,59034.4862,115.400572,27011.5175,991.140109
