m,s_tor,tangential_current,rational_s_tor
5,0.04150158555289751,2.020602754913442e-05,0.48848330397173
5,0.04423978261118174,1.5892896037041737e-05,0.48848330397173
5,0.04706645771619468,1.2195298772577832e-05,0.48848330397173
5,0.04998165788281512,9.759051566801233e-06,0.48848330397173
5,0.05298546256304724,9.468385089906833e-06,0.48848330397173
5,0.05607800422442588,7.990584920189295e-06,0.48848330397173
5,0.05925928910152643,8.052481552583069e-06,0.48848330397173
5,0.06252956210545951,8.631774830471706e-06,0.48848330397173
5,0.06588902229588271,9.161634706118883e-06,0.48848330397173
5,0.06933783681508719,1.2970543357430038e-05,0.48848330397173
5,0.0728761410254767,1.35802085507511e-05,0.48848330397173
5,0.07650401932404576,1.5938747843039786e-05,0.48848330397173
5,0.08022157781192936,1.3879350392085105e-05,0.48848330397173
5,0.0840288968205672,1.4973836916223312e-05,0.48848330397173
5,0.08792603726000324,1.2470568728609315e-05,0.48848330397173
5,0.09191309235566952,1.0534745711606435e-05,0.48848330397173
5,0.09599000033775607,1.0783910070562496e-05,0.48848330397173
5,0.10015662617915198,1.1212293094782504e-05,0.48848330397173
5,0.10441333418471553,1.144154450551767e-05,0.48848330397173
5,0.1087602020175796,1.3130496519475272e-05,0.48848330397173
5,0.11319730663948761,1.122206080127197e-05,0.48848330397173
5,0.11772471458311304,1.4680064328874269e-05,0.48848330397173
5,0.12234179519920114,1.2963881349711541e-05,0.48848330397173
5,0.12704905220651588,1.6646437876768115e-05,0.48848330397173
5,0.13184690732620769,2.9027851014850232e-05,0.48848330397173
5,0.13673596546824132,2.7991950769139854e-05,0.48848330397173
5,0.14171650447194542,2.0198966857140525e-05,0.48848330397173
5,0.14678852599347908,2.203201337449487e-05,0.48848330397173
5,0.15195011179042323,2.180266171990674e-05,0.48848330397173
5,0.15720282979996672,2.292056735167254e-05,0.48848330397173
5,0.1625468506127396,3.003684396489149e-05,0.48848330397173
5,0.16798247131161337,3.194235626030625e-05,0.48848330397173
5,0.17351002423767498,3.3153469679706815e-05,0.48848330397173
5,0.17912980593208874,3.680989578704915e-05,0.48848330397173
5,0.18484124893355594,3.75715021623799e-05,0.48848330397173
5,0.1906435999439426,4.1974380425546596e-05,0.48848330397173
5,0.19653894116821566,4.8281469316338105e-05,0.48848330397173
5,0.2025276381192934,5.700782201628671e-05,0.48848330397173
5,0.20861015970515095,6.303166222756461e-05,0.48848330397173
5,0.21478699225120562,7.18742438793709e-05,0.48848330397173
5,0.22105868785107977,8.234645549334857e-05,0.48848330397173
5,0.22742576480058438,9.273290763383691e-05,0.48848330397173
5,0.23388902073008344,9.153924293815022e-05,0.48848330397173
5,0.2404486273705157,3.053138055011004e-05,0.48848330397173
5,0.24710411945181507,4.242453502508057e-05,0.48848330397173
5,0.2538557426019184,4.323155364102842e-05,0.48848330397173
5,0.2607028176316855,4.905888639863342e-05,0.48848330397173
5,0.2676442059552339,5.295609294979617e-05,0.48848330397173
5,0.27467798979204894,6.96650264997475e-05,0.48848330397173
5,0.2818010423226586,7.191224335082208e-05,0.48848330397173
5,0.2890082891152869,9.573291951163476e-05,0.48848330397173
5,0.29629072097857284,0.00011559497283310844,0.48848330397173
5,0.30363068519095227,0.00016457775862936867,0.48848330397173
5,0.31099028582264837,0.0002573840356969542,0.48848330397173
5,0.3182754370659802,0.0006159368236199874,0.48848330397173
5,0.3252155562679019,0.001347580896802367,0.48848330397173
5,0.33100678814997553,0.002176057363621732,0.48848330397173
5,0.33410768925440515,0.002399324470993504,0.48848330397173
5,0.3353646279442493,0.002518566436602339,0.48848330397173
5,0.3359538770478608,0.0026364080176497213,0.48848330397173
5,0.3363570523532288,0.002697923271246986,0.48848330397173
5,0.33669416698071575,0.002643429683762857,0.48848330397173
5,0.3370307496287049,0.00277202009092129,0.48848330397173
5,0.3374125728440744,0.002666870045288741,0.48848330397173
