component,rho_pol,mars_rms,neort_rms,relative_residual
J1,0.7842083449999999,0.07687324441282588,0.07687171140822305,0.0001549042324290822
J1,0.7889676999999999,0.08006365103082998,0.08006162016823062,0.0001536403136117791
J1,0.79311904,0.0831901375775054,0.08318633550433006,0.0001538710937211064
J1,0.795859095,0.08569637584564095,0.08569627958822398,0.0001464434272505524
J1,0.7971459649999999,0.08733442948278877,0.08733709591263739,0.0001361709143998507
J1,0.797824295,0.08845222170308152,0.08844458168238113,0.00016964545238220172
J1,0.798461815,0.08936627025740461,0.08937061249730262,0.00015031218505328725
J1,0.799685625,0.09092297967326901,0.09091820550518645,0.00014996296913017405
J1,0.80230835,0.09357712400237542,0.09357720287982503,0.00014229720639997895
J1,0.8062409349999999,0.09737468727048434,0.09737002778750123,0.0001517851398303512
J1,0.810722445,0.10164624617778145,0.10164438560914056,0.00014657156260365061
J1,0.815354,0.1066902750299058,0.10668898678476478,0.00014793178834747732
J1,0.82001179,0.1116305925777419,0.11162724331252356,0.00014744661715408098
J1,0.824654105,0.11515230041412759,0.11515214077637359,0.00014870851855707366
J1,0.8292582049999999,0.12194761772132684,0.12194192766276517,0.0001521696091888752
J1,0.833813295,0.12485967592595246,0.12485824327227948,0.0001484181372040173
J1,0.83831608,0.12814744964118177,0.1281421704439966,0.0001522615292480087
J1,0.84275737,0.14242250745464002,0.14242280509721342,0.00015177783292477697
J1,0.847121425,0.14018015460900732,0.14017369539247976,0.00015552470065339572
J1,0.8513657299999999,0.14769648586416378,0.14769806994781134,0.00015402013709153625
J1,0.855338275,0.19317596693166528,0.19316665686405018,0.00014158607356347632
J1,0.8586293199999999,0.19945686650707284,0.19945204709238518,0.00012525748795618732
J1,0.8605982649999999,0.1795284755353349,0.1795324017311504,0.00014751461203054396
J1,0.8614409949999999,0.17038838362777967,0.1703941102719117,0.00013643080927620081
J1,0.861927605,0.16587177965575384,0.16587008321004687,0.0001352284634248138
J1,0.8624125600000001,0.16248195492447529,0.16248240634631148,0.00011208754705149194
J1,0.86318295,0.1591210518159239,0.15911058865888716,0.00012077466670254488
J1,0.864869625,0.16122834917602175,0.1612399197676134,0.00010438180538870966
J1,0.8677971099999999,0.15899124536075376,0.1589905569381943,7.415328706486131e-05
J1,0.8714656350000001,0.16059414538346564,0.160598185653223,7.616475754575076e-05
J1,0.8753837250000001,0.16366830725714496,0.1636705551590765,7.265105851680176e-05
J1,0.879349655,0.13601391166579893,0.13601557675321566,8.938904618256954e-05
J1,0.8832861949999999,0.07686853759759417,0.0768661961694561,0.00015479290913511304
J1,0.8871606400000001,0.06220332947778369,0.062201776843193536,0.0001910224609156496
J1,0.8909240350000001,0.06270549447226113,0.06270351832568961,0.00019115775017044818
J1,0.89438677,0.06130307847380809,0.061302443030047,0.00019865917882097808
J1,0.8970832449999999,0.059775260438323055,0.059772811369445615,0.0001945884121221269
J1,0.8986029799999999,0.0592013867027912,0.05919672849332167,0.00019570438916435498
J1,0.89927096,0.05893291739786797,0.058937643853662805,0.0002478415323046402
J1,0.89968006,0.05877927287938333,0.05878169997917544,0.0001932442262825027
J1,0.900058135,0.05871043436024478,0.058695434348401646,0.00031250016270363296
J1,0.900581945,0.058700869241385005,0.058704662828010824,0.00021424383667255765
J1,0.90163956,0.058555082925821046,0.058554192335443615,0.0002070274995067416
J1,0.90377482,0.05883517533943023,0.05883177068939526,0.00021234504196257901
J1,0.9068220499999999,0.06299693478256546,0.06299630716974969,0.00022016047414972847
J1,0.91018814,0.0628761616830199,0.06287176821811545,0.00022705899232803423
J1,0.91362857,0.05314922591361475,0.05314685544293212,0.00025676288986210816
J1,0.9169608499999999,0.07010066560563712,0.07009823430109281,0.0002583473847143891
J1,0.9199721750000001,0.09456030283764803,0.09455434943413069,0.00018507942395806288
J1,0.922294495,0.0794530869519985,0.07945025648284261,0.0001920644295852178
J1,0.923583905,0.060866207854460286,0.060870106781125595,0.0002743469500765053
J1,0.924143725,0.053358780383522604,0.05335757221754687,0.00028695842809864033
J1,0.92448118,0.049274510300027594,0.049270654817655614,0.00034082795573128733
J1,0.92479685,0.04618604422454975,0.04617088752162719,0.00044806683199293516
J1,0.925196305,0.043369819428223315,0.04337051277200489,0.000337063603339036
J1,0.92594018,0.042037369614544205,0.04203988950639212,0.0002971057976977767
J1,0.927551375,0.04766683644668155,0.047663961644290244,0.00025822829451935297
J1,0.930056605,0.046345416989138105,0.046341486985245865,0.0002714391141424769
J1,0.932947035,0.03888785676084149,0.038885532316344486,0.0003013224558908011
J1,0.9358796149999999,0.039134807340838386,0.03913190547166159,0.00029244812747355504
J1,0.9384783649999999,0.0371326757448369,0.03713253672851002,0.00030092358052456487
J1,0.94025829,0.03616714571416472,0.036164018732343754,0.00030894375602679705
J1,0.9411625400000001,0.0359238465004997,0.03592240600409148,0.0003130139780822097
J1,0.94158652,0.03577979381024752,0.035772549424585624,0.00035333364564916
J1,0.9418729050000001,0.03565579409055635,0.03565756734908329,0.00033824075263794986
J1,0.942138055,0.03553110986050117,0.03552627615534588,0.0003438455208797812
J1,0.9425203200000001,0.0353415340762514,0.035343037676933246,0.0003325393606219941
J1,0.943179745,0.03484961654791596,0.03484669101095186,0.0003430092968068774
J1,0.94447538,0.033700854985051064,0.03370023867349197,0.0003552202461784349
J1,0.9465724099999999,0.0340287174586632,0.03402663442910868,0.00038616770968477794
J1,0.949011415,0.04245373635780898,0.0424518355175788,0.0003258673518877028
J1,0.951326795,0.048216804240750005,0.04821406681762695,0.0002818114238407832
J1,0.95301014,0.039591007882031876,0.03958511444244293,0.00037712155623369345
J1,0.95388224,0.032549493692532745,0.03254491224743644,0.00043926490973091975
J1,0.9542968549999999,0.029640437485273348,0.02965200409774003,0.0007401268051805532
J1,0.954557855,0.027958582919988872,0.02794812475599042,0.0006331413312391312
J1,0.95479528,0.026636794524440916,0.026631619881194786,0.0005539536746639438
J1,0.955067495,0.025472739223755682,0.02548106407364618,0.0006484449053822867
J1,0.9554904,0.024545477553750066,0.024546794346734808,0.00045976436859157494
J1,0.9562795799999999,0.024644807048233727,0.024641516365890206,0.0004828556368047197
J1,0.957761965,0.02540370522576439,0.025404231444252273,0.0004501969594472
J1,0.95973156,0.023840749288754428,0.023837400631436873,0.0005263041287456492
