component,field,s_tor,rho_tor,spectral_norm
J1,total,0.7501003032831153,0.8660833119758834,0.00026256203987033873
J1,total,0.7613470835476857,0.8725520520563147,0.00026421521260282986
J1,total,0.7721165505232186,0.8787016277003352,0.0002662309602290101
J1,total,0.7811091235065297,0.8838037811112429,0.00026755456415687365
J1,total,0.7875268271862947,0.8874270827433062,0.0002670646094185711
J1,total,0.7911165316330167,0.8894473180762403,0.0002665247657186614
J1,total,0.79276085807818,0.8903711911771293,0.0002663049661340605
J1,total,0.7937655398429836,0.8909352051877755,0.00026626694027214636
J1,total,0.7944337326201591,0.8913101214617498,0.0002662820008366988
J1,total,0.794939525318954,0.8915938118442467,0.00026590757533980717
J1,total,0.795399985133699,0.8918519973256207,0.000267732467769323
J1,total,0.7958026813251315,0.8920777327818084,0.0002694831670044446
J1,total,0.7961933595833324,0.8922966768868594,0.0002702490654637832
J1,total,0.7966401397854146,0.8925469958413476,0.0002710127540664168
J1,total,0.7971783338926246,0.892848438366011,0.00027161102844827916
J1,total,0.7978107911339307,0.8932025476530677,0.00027229534546793836
J1,total,0.7986957483193649,0.8936977947378884,0.00027313648463405776
J1,total,0.8002318754359248,0.8945568039179652,0.00027425319602900116
J1,total,0.8033388854394037,0.8962917412535963,0.0002758949677477582
J1,total,0.8091165085838349,0.8995090375220445,0.00027771125770386377
J1,total,0.8176480037468767,0.9042389085561828,0.0002811172216991194
J1,total,0.8279483870962185,0.9099166923934402,0.00029241866273518375
J1,total,0.8383711471066958,0.9156260956890077,0.0003334372529487093
J1,total,0.8474741595155908,0.9205835972444821,0.00039414731893232783
J1,total,0.853920906682492,0.9240784093801196,0.00039670084571178906
J1,total,0.8573759034859315,0.9259459506288321,0.0004113827356413244
J1,total,0.8591383569394297,0.9268971663239832,0.00042970595405782743
J1,total,0.8601658709213587,0.9274512768449665,0.0004390523328754318
J1,total,0.8609076742130686,0.9278511056269042,0.0004472711734070323
J1,total,0.8614747138201585,0.9281566213846446,0.0004497453498594343
J1,total,0.8619031670750875,0.9283874013982997,0.0004523547431554386
J1,total,0.8623300433839619,0.9286172749760592,0.00045373831561891915
J1,total,0.8627615353738178,0.9288495762898413,0.0004552041040857016
J1,total,0.8631981443243307,0.9290845732893915,0.0004570083747358792
J1,total,0.8636356389417827,0.9293199873788268,0.00045913173609102585
J1,total,0.8641533527616541,0.929598490081419,0.0004610236144536551
J1,total,0.8648570819534376,0.9299769254951639,0.0004663341786374099
J1,total,0.8658368642191552,0.9305035541141985,0.00047706598905388386
J1,total,0.8673736418495659,0.9313289654303499,0.0005065086963509006
J1,total,0.8701897146263103,0.9328395974798188,0.0006153490857956695
J1,total,0.8760544193731192,0.935977787863109,0.001045663473856562
J1,total,0.8852049201384783,0.9408532936321572,0.001715929273359928
J1,total,0.8963967593148494,0.9467823188647163,0.0022340904846409435
J1,total,0.9090120273182357,0.9534212223976535,0.002541897503030563
J1,total,0.922142057280099,0.9602822799990111,0.00275505675230094
J1,total,0.9350904516035834,0.967000750570331,0.002968957195116394
J1,total,0.9466699950081958,0.9729696783601203,0.0032264774531156094
J1,total,0.9559041922291684,0.9777035298234166,0.003524751066956028
J1,total,0.9616768555124007,0.9806512405092855,0.0037762727533044087
J1,total,0.9643777116098327,0.982027347689377,0.003920358678249689
J1,total,0.9658823401012826,0.9827931318956612,0.003984927506186766
J1,total,0.9669184403876508,0.9833201108426751,0.004056242210447369
J1,total,0.9676653839393572,0.9836998444339398,0.004066154003322287
J1,total,0.9681672363398759,0.9839548954804157,0.004061778354732119
J1,total,0.9686695131121799,0.984210096022277,0.00407892625868682
J1,total,0.9691327092732038,0.9844453815591822,0.004091530317339993
J1,total,0.969553483930127,0.9846590698968486,0.004091321841935867
J1,total,0.9699712860515797,0.9848712027730223,0.00408809696217225
J1,total,0.970467674597336,0.9851231773729293,0.004093880669086792
J1,total,0.9710498827129755,0.9854186332280183,0.004112546359100361
J1,total,0.9717901276003653,0.9857941608674528,0.004133460024885291
J1,total,0.9728622576603625,0.9863378009892769,0.004176057330093107
J1,total,0.9745424438624868,0.9871891631609855,0.004205256959356912
J1,total,0.9778733453236222,0.9888747874850599,0.004200308479998612
J1,total,0.9843187123660726,0.9921283749425135,0.004282283796653999
J1,total,0.9942433435434939,0.9971175174188316,0.0073552539326163175
J1,vacuum,2.1472177611340383e-05,0.004633808111191095,0.0004963823501121845
