source,component,s_tor,rho_tor,dT_phi_ds_N_m,cumulative_T_phi_N_m
mars_native_staggered,total,0.34522017938391336,0.5875544054671987,-42.89666740169898,7150.148155961556
mars_native_staggered,total,0.3516738426446477,0.5930209462107116,-59.430578616554214,7149.721393362062
mars_native_staggered,total,0.3591611041009175,0.5993005123482855,-43.83060389034894,7149.3797923619495
mars_native_staggered,total,0.36710584646217015,0.605892603075966,-27.86718437692483,7149.154184633494
mars_native_staggered,total,0.3752994149370775,0.6126168581887683,-21.775779333881182,7148.973634760705
mars_native_staggered,total,0.3836669818374884,0.6194085742363342,-17.203756620677648,7148.828369378407
mars_native_staggered,total,0.392176674131664,0.6262401090090478,-10.255070284095485,7148.740426335833
mars_native_staggered,total,0.4008120856826749,0.6330972166126423,-4.936317591548627,7148.6975037903
mars_native_staggered,total,0.409562812341278,0.6399709464821649,-2.56393930836461,7148.674925235037
mars_native_staggered,total,0.41842022899856185,0.646854101786919,-0.8902903108974841,7148.666993962657
mars_native_staggered,total,0.42737474610299686,0.6537390504650895,0.7287809345000746,7148.673553281221
mars_native_staggered,total,0.436412927823286,0.6606155673485798,0.7703445072025806,7148.680544901242
mars_native_staggered,total,0.4455128406128757,0.6674674828131149,-0.06547588213210326,7148.679947508442
mars_native_staggered,total,0.45461198097702016,0.6742491979802573,-0.3577281118754653,7148.676701333146
mars_native_staggered,total,0.46357828692487096,0.6808658362150879,2.0239455109310436,7148.694629829949
mars_native_staggered,total,0.47206725905536595,0.6870715094190458,23.495756670959455,7148.885409566432
mars_native_staggered,total,0.47925618486703425,0.6922833125729915,40.754123444203124,7149.140452897596
mars_native_staggered,total,0.48389623377672564,0.6956265045099458,32.53386761326568,7149.2387702135065
mars_native_staggered,total,0.4860827214835603,0.6971963292241005,22.790147895663992,7149.269559165416
mars_native_staggered,total,0.4871029363342032,0.6979276010691963,17.357683232777397,7149.281526477462
mars_native_staggered,total,0.4876852470722047,0.6983446477722907,17.256274790786318,7149.289726110019
mars_native_staggered,total,0.48811767821372043,0.6986541907222202,-33.54077572104217,7149.276655467258
mars_native_staggered,total,0.48849044609004316,0.6989209154761669,50.07648212186396,7149.294474764888
mars_native_staggered,total,0.488862991315127,0.6991873792590417,50.991767812857,7149.31432324973
mars_native_staggered,total,0.48929656206702693,0.6994973638742514,-49.590417728889605,7149.290624351317
mars_native_staggered,total,0.4899102411107535,0.6999358835713122,-8.763049322469172,7149.284056749124
mars_native_staggered,total,0.4909799317748448,0.700699601665967,-10.681821501462995,7149.269209915188
mars_native_staggered,total,0.49326789385940545,0.7023303310119857,-30.705185585217,7149.171382941129
mars_native_staggered,total,0.4980385124755413,0.70571843710898,-55.06404964545294,7148.821438295985
mars_native_staggered,total,0.5054284849093915,0.7109349371844034,-46.67723111430325,7148.428195886339
